"GEO_ID","NAME","GEO_ID_F","NAICS2017","INDGROUP","SUBSECTOR","NAICS2017_F","NAICS2017_LABEL","INDLEVEL","SECTOR","OWNER_SEX","OWNER_SEX_LABEL","OWNER_ETH","OWNER_ETH_LABEL","OWNER_RACE","OWNER_RACE_LABEL","OWNER_VET","OWNER_VET_LABEL","QDESC","QDESC_LABEL","OWNCHAR","OWNCHAR_LABEL","YEAR","OWNPDEMP","OWNPDEMP_PCT","OWNPDEMP_S","OWNPDEMP_PCT_S"
"id","Geographic Area Name","Geo Footnote","2017 NAICS code","Industry group","SUBSECTOR","2017 NAICS Footnote","Meaning of NAICS code","Industry level","NAICS economic sector ","Sex code","Meaning of Sex code","Ethnicity code","Meaning of Ethnicity code","Race code","Meaning of Race code","Veteran code","Meaning of Veteran code","Question description code","Meaning of Question description code","Owner characteristic code","Meaning of Owner characteristic code","Year","Number of owners of respondent employer firms","Percent of number of owners of respondent employer firms (%)","Relative standard error of number of owners of respondent employer firms (%)","Standard error of percent of number of owners of respondent employer firms (%)"
"0100000US","United States","null","54","null","null","null","Professional, scientific, and technical services","2","54","001","All owners of respondent firms","001","All owners of respondent firms","00","All owners of respondent firms","001","All owners of respondent firms","O02","YRACQBUS","CG","Before 1980","2018","17945","2.8","3.6","0.1"
"0100000US","United States","null","54","null","null","null","Professional, scientific, and technical services","2","54","001","All owners of respondent firms","001","All owners of respondent firms","30","White","001","All owners of respondent firms","O02","YRACQBUS","CG","Before 1980","2018","17451","3.0","3.7","0.1"
"0100000US","United States","null","54","null","null","null","Professional, scientific, and technical services","2","54","001","All owners of respondent firms","001","All owners of respondent firms","40","Black or African American","001","All owners of respondent firms","O02","YRACQBUS","CG","Before 1980","2018","79","0.7","32.5","0.2"
"0100000US","United States","null","54","null","null","null","Professional, scientific, and technical services","2","54","001","All owners of respondent firms","001","All owners of respondent firms","50","American Indian and Alaska Native","001","All owners of respondent firms","O02","YRACQBUS","CG","Before 1980","2018","47","1.6","59.9","0.9"
"0100000US","United States","null","54","null","null","null","Professional, scientific, and technical services","2","54","001","All owners of respondent firms","001","All owners of respondent firms","60","Asian","001","All owners of respondent firms","O02","YRACQBUS","CG","Before 1980","2018","408","0.8","14.3","0.1"
"0100000US","United States","null","54","null","null","null","Professional, scientific, and technical services","2","54","001","All owners of respondent firms","001","All owners of respondent firms","90","Minority","001","All owners of respondent firms","O02","YRACQBUS","CG","Before 1980","2018","991","1.1","20.0","0.2"
"0100000US","United States","null","54","null","null","null","Professional, scientific, and technical services","2","54","001","All owners of respondent firms","001","All owners of respondent firms","92","Nonminority","001","All owners of respondent firms","O02","YRACQBUS","CG","Before 1980","2018","16952","3.1","4.1","0.1"
"0100000US","United States","null","54","null","null","null","Professional, scientific, and technical services","2","54","001","All owners of respondent firms","020","Hispanic","00","All owners of respondent firms","001","All owners of respondent firms","O02","YRACQBUS","CG","Before 1980","2018","492","1.6","37.4","0.6"
"0100000US","United States","null","54","null","null","null","Professional, scientific, and technical services","2","54","001","All owners of respondent firms","029","Non-Hispanic","00","All owners of respondent firms","001","All owners of respondent firms","O02","YRACQBUS","CG","Before 1980","2018","17453","2.8","4.0","0.1"
"0100000US","United States","null","54","null","null","null","Professional, scientific, and technical services","2","54","001","All owners of respondent firms","001","All owners of respondent firms","00","All owners of respondent firms","001","All owners of respondent firms","O02","YRACQBUS","CH","1980 to 1989","2018","51539","7.9","2.4","0.2"
"0100000US","United States","null","54","null","null","null","Professional, scientific, and technical services","2","54","001","All owners of respondent firms","001","All owners of respondent firms","30","White","001","All owners of respondent firms","O02","YRACQBUS","CH","1980 to 1989","2018","49566","8.4","2.5","0.2"
"0100000US","United States","null","54","null","null","null","Professional, scientific, and technical services","2","54","001","All owners of respondent firms","001","All owners of respondent firms","40","Black or African American","001","All owners of respondent firms","O02","YRACQBUS","CH","1980 to 1989","2018","689","5.8","15.1","0.9"
"0100000US","United States","null","54","null","null","null","Professional, scientific, and technical services","2","54","001","All owners of respondent firms","001","All owners of respondent firms","50","American Indian and Alaska Native","001","All owners of respondent firms","O02","YRACQBUS","CH","1980 to 1989","2018","207","7.3","27.3","2.1"
"0100000US","United States","null","54","null","null","null","Professional, scientific, and technical services","2","54","001","All owners of respondent firms","001","All owners of respondent firms","60","Asian","001","All owners of respondent firms","O02","YRACQBUS","CH","1980 to 1989","2018","1291","2.5","10.5","0.3"
"0100000US","United States","null","54","null","null","null","Professional, scientific, and technical services","2","54","001","All owners of respondent firms","001","All owners of respondent firms","70","Native Hawaiian and Other Pacific Islander","001","All owners of respondent firms","O02","YRACQBUS","CH","1980 to 1989","2018","5","0.7","64.7","0.4"
"0100000US","United States","null","54","null","null","null","Professional, scientific, and technical services","2","54","001","All owners of respondent firms","001","All owners of respondent firms","90","Minority","001","All owners of respondent firms","O02","YRACQBUS","CH","1980 to 1989","2018","3424","3.6","7.4","0.3"
"0100000US","United States","null","54","null","null","null","Professional, scientific, and technical services","2","54","001","All owners of respondent firms","001","All owners of respondent firms","92","Nonminority","001","All owners of respondent firms","O02","YRACQBUS","CH","1980 to 1989","2018","48114","8.7","2.8","0.2"
"0100000US","United States","null","54","null","null","null","Professional, scientific, and technical services","2","54","001","All owners of respondent firms","020","Hispanic","00","All owners of respondent firms","001","All owners of respondent firms","O02","YRACQBUS","CH","1980 to 1989","2018","1319","4.4","10.8","0.5"
"0100000US","United States","null","54","null","null","null","Professional, scientific, and technical services","2","54","001","All owners of respondent firms","029","Non-Hispanic","00","All owners of respondent firms","001","All owners of respondent firms","O02","YRACQBUS","CH","1980 to 1989","2018","50221","8.1","2.6","0.2"
"0100000US","United States","null","54","null","null","null","Professional, scientific, and technical services","2","54","001","All owners of respondent firms","001","All owners of respondent firms","00","All owners of respondent firms","001","All owners of respondent firms","O02","YRACQBUS","CI","1990 to 1999","2018","102245","15.8","1.6","0.3"
"0100000US","United States","null","54","null","null","null","Professional, scientific, and technical services","2","54","001","All owners of respondent firms","001","All owners of respondent firms","30","White","001","All owners of respondent firms","O02","YRACQBUS","CI","1990 to 1999","2018","96063","16.3","1.9","0.3"
"0100000US","United States","null","54","null","null","null","Professional, scientific, and technical services","2","54","001","All owners of respondent firms","001","All owners of respondent firms","40","Black or African American","001","All owners of respondent firms","O02","YRACQBUS","CI","1990 to 1999","2018","1667","13.9","12.7","1.6"
"0100000US","United States","null","54","null","null","null","Professional, scientific, and technical services","2","54","001","All owners of respondent firms","001","All owners of respondent firms","50","American Indian and Alaska Native","001","All owners of respondent firms","O02","YRACQBUS","CI","1990 to 1999","2018","285","10.0","27.7","2.3"
"0100000US","United States","null","54","null","null","null","Professional, scientific, and technical services","2","54","001","All owners of respondent firms","001","All owners of respondent firms","60","Asian","001","All owners of respondent firms","O02","YRACQBUS","CI","1990 to 1999","2018","4599","9.1","12.0","1.1"
"0100000US","United States","null","54","null","null","null","Professional, scientific, and technical services","2","54","001","All owners of respondent firms","001","All owners of respondent firms","70","Native Hawaiian and Other Pacific Islander","001","All owners of respondent firms","O02","YRACQBUS","CI","1990 to 1999","2018","112","16.6","39.8","6.5"
"0100000US","United States","null","54","null","null","null","Professional, scientific, and technical services","2","54","001","All owners of respondent firms","001","All owners of respondent firms","90","Minority","001","All owners of respondent firms","O02","YRACQBUS","CI","1990 to 1999","2018","10302","11.0","5.5","0.5"
"0100000US","United States","null","54","null","null","null","Professional, scientific, and technical services","2","54","001","All owners of respondent firms","001","All owners of respondent firms","92","Nonminority","001","All owners of respondent firms","O02","YRACQBUS","CI","1990 to 1999","2018","91943","16.6","2.0","0.4"
"0100000US","United States","null","54","null","null","null","Professional, scientific, and technical services","2","54","001","All owners of respondent firms","020","Hispanic","00","All owners of respondent firms","001","All owners of respondent firms","O02","YRACQBUS","CI","1990 to 1999","2018","3888","13.0","6.3","1.0"
"0100000US","United States","null","54","null","null","null","Professional, scientific, and technical services","2","54","001","All owners of respondent firms","029","Non-Hispanic","00","All owners of respondent firms","001","All owners of respondent firms","O02","YRACQBUS","CI","1990 to 1999","2018","98356","15.9","1.7","0.3"
"0100000US","United States","null","54","null","null","null","Professional, scientific, and technical services","2","54","001","All owners of respondent firms","001","All owners of respondent firms","00","All owners of respondent firms","001","All owners of respondent firms","O02","YRACQBUS","CI01","2000 to 2007","2018","140109","21.6","2.5","0.5"
"0100000US","United States","null","54","null","null","null","Professional, scientific, and technical services","2","54","001","All owners of respondent firms","001","All owners of respondent firms","30","White","001","All owners of respondent firms","O02","YRACQBUS","CI01","2000 to 2007","2018","126271","21.4","2.5","0.5"
